ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,TrafficConditionNearby_numeric,Price
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.0
5248,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.497499999999999
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.684279475982532
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.81340206185567
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.619791666666668
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.548936170212766
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.557971014492754
14432,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,11.13661119515885
9184,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.652911896465904
10496,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.0
1312,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.610077519379846
11808,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.578392995106876
13120,Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,1,10.486244467143344
15744,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2,11.489494038027715
14433,Others-CCCPS8,1322,26.14754886,91.72799519,478,truck,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,10.661573373676248
6561,BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,10.850515463917525
9185,Others-CCCPS105a,2009,26.14747299,91.72804914,780,car,average,3,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,11.188252862120457
13121,Others-CCCPS202,2937,26.14749053,91.72799688,665,car,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,10.52642151855635
11809,Others-CCCPS135a,3883,26.14749943,91.72800489,1467,bike,low,3,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,11.177800669585372
1313,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,10.633333333333333
3937,BHMMBMMBX01,687,20.0000347,78.00000286,302,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,10.239592430858806
2625,BHMEURBRD01,470,26.14901995,91.7395035,174,bike,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,10.170212765957448
15745,Others-CCCPS98,3103,26.14749998,91.72797778,678,bike,average,3,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,11.018498227521754
7873,Broad Street,690,26.13795775,91.74099445,269,car,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,10.689855072463768
10497,Others-CCCPS119a,2803,26.14754061,91.72797041,238,car,average,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2,10.384909026043525
17057,Shopping,1920,26.15050395,91.73353109,761,car,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,10.696354166666666
5249,BHMNCPHST01,1200,26.14001386,91.73099967,315,bike,low,2,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,10.5625
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,1,11.0
14434,Others-CCCPS8,1322,26.14754886,91.72799519,518,car,average,3,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2,11.191830559757943
1314,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,1,10.700516795865633
10498,Others-CCCPS119a,2803,26.14754061,91.72797041,323,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,1,10.415233678201927
